epeak_keV,threshold_photon_flux_ph_cm2_s,threshold_energy_flux_erg_cm2_s,source_counts_at_threshold,background_counts_total,background_counts_cxb,background_counts_internal,trigger_energy_min_keV,trigger_energy_max_keV,sigma0
14.61187278110748,13.650083292011889,1.8438315073642527e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
15.013107289081734,13.33840243752965,1.8308581628058956e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
15.425359490188214,13.036422588870234,1.8184446142488224e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
15.848931924611133,12.743838683846766,1.8065834852529542e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
16.28413544013249,12.460352585495956,1.7952673628304864e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
16.73128942025444,12.185673441208051,1.7844888528750545e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
17.190722018585745,11.919517960826571,1.774240630189828e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
17.662770399664428,11.661610623174518,1.764515483595808e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
18.147780986393233,11.411683819886358,1.7553063566146509e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
18.646109714269564,11.169477944570389,1.746606384188304e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
19.158122292596424,10.934741434540962,1.7384089258679225e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
19.68419447286612,10.70723077164274,1.7307075958774086e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
20.22471232451357,10.486710445015124,1.72349628993602e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
20.780072518241727,10.272952496783269,1.7167691449201988e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
21.350682617126953,10.065735065643409,1.710520323834595e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
21.93696137571797,9.864841938530072,1.704743952937808e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
22.539339047347912,9.670062674296899,1.699434153517993e-07,102.38229021186041,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
23.15825769988508,9.48119269556834,1.6945850719116482e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
23.79417154015396,9.298033341679009,1.6901909060561227e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
24.44754724726473,9.120391887812955,1.6862459289037236e-07,102.38229021186038,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
25.118864315095795,8.948081534977748,1.6827445090024295e-07,102.38229021186041,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
25.808615404180742,8.78092137494253,1.6796811285235448e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
26.517306703257912,8.618736333825106,1.677050398994167e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
27.245458300747917,8.461357097608929,1.6748470749711929e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
27.99360456643181,8.308620022503778,1.6730660658738262e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
28.762294543609865,8.160367032731623,1.6717024461731175e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
29.55209235202888,8.016445508037581,1.670751464123858e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
30.363577601873583,7.8767081628891935,1.6702085491948475e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
31.19734581912619,7.741012919127153,1.6700693183469673e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
32.054008882605935,7.609222773722285,1.6703295813190007e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
32.934195473009574,7.481205662885026,1.6709853450245649e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
33.83855153428233,7.35683432373617,1.6720328171800903e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
34.767740747657776,7.2359861545529265,1.673468409261049e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
35.72244501871466,7.1185430745018605,1.6752887389047018e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
36.70336497780802,7.004391383580774,1.6774906318165042e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
37.71122049424198,6.8934216234286065,1.680071123265446e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
38.74675120456132,6.785528439562494,1.6830274592460216e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
39.810717055349734,6.6806104455075435,1.6863570973690303e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
40.903898860933104,6.5785700892137395,1.6900577075414878e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
